Designator,Mid X,Mid Y,Rotation,Layer,Val,Package
C8,82.3,-74.5,180,bottom,10uF,C_0402_1005Metric
C9,82.3,-76.9,180,bottom,10uF,C_0402_1005Metric
C15,82.25,-71.99,180,bottom,1uF,C_0402_1005Metric
C16,87.75,-71.99,0,bottom,10uF,C_0402_1005Metric
C17,47,-54.5,180,bottom,100nF,C_0402_1005Metric
C18,44,-56,0,bottom,100nF,C_0402_1005Metric
C19,42.5,-57.5,180,bottom,100nF,C_0402_1005Metric
C20,41,-59,0,bottom,100nF,C_0402_1005Metric
C21,41,-71,0,bottom,100nF,C_0402_1005Metric
C22,42.5,-72.5,180,bottom,100nF,C_0402_1005Metric
C23,44,-74,0,bottom,100nF,C_0402_1005Metric
C24,47,-75.5,180,bottom,100nF,C_0402_1005Metric
C25,53,-75.5,180,bottom,100nF,C_0402_1005Metric
C26,56,-74,0,bottom,100nF,C_0402_1005Metric
C27,56,-56,0,bottom,100nF,C_0402_1005Metric
C28,51.5,-54.5,180,bottom,100nF,C_0402_1005Metric
D2,86.57,-73.1,0,bottom,ESD441DPLR,X2SON-2_L0.6-W0.3-P0.35_ESD441DPLR
J2,75.7,-60.8,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J3,75.7,-69.2,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J4,94.9,-65,0,bottom,Interboard-F2,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8
J5,59.3,-60.8,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J6,59.3,-69.2,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J7,40.1,-65,180,bottom,Interboard-M2,HDR-SMD_8P-P1.27-V-M-R2-C4-W5.5
R7,87.3,-74.9,90,bottom,100k,R_0402_1005Metric
R12,56,-57.5,180,bottom,470,R_0402_1005Metric
U1,85,-65,0,bottom,ESP32-C3-MINI-1,WIFIM-SMD_ESP32-C3-MINI-1
U2,85,-75.5,180,bottom,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
C1,88.5,-61.7,90,top,10uF,C_0402_1005Metric
C2,89.5,-61.7,90,top,100nF,C_0402_1005Metric
C3,90.95,-60.38,90,top,1uF,C_0402_1005Metric
C4,92.3,-58.4,90,top,100nF,C_0402_1005Metric
C5,74.3,-68.1,180,top,100nF,C_0402_1005Metric
C6,79.1,-66.85,-90,top,22pF,C_0402_1005Metric
C7,79.1,-68.75,90,top,22pF,C_0402_1005Metric
C10,82,-62.1,0,top,100nF,C_0402_1005Metric
C11,81.5,-63.5,90,top,120nF,C_0402_1005Metric
C12,85.2,-67.7,0,top,1uF,C_0402_1005Metric
C13,76.18,-57.9,180,top,100nF,C_0402_1005Metric
C14,78.1,-60.9,0,top,100nF,C_0402_1005Metric
D1,84.5,-69.1,180,top,TPD2EUSB30,SOT-723_L1.2-W0.8-P0.80-LS1.2-BR
D3,92.8,-72.3225,-90,top,GREEN,LED_0603_1608Metric
D4,53,-54.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D5,51.5,-54.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D6,50,-54.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D7,48.5,-54.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D8,47,-54.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D9,44,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D10,45.5,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D11,47,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D12,48.5,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D13,50,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D14,51.5,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D15,53,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D16,54.5,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D17,56,-56,180,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D18,57.5,-57.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D19,56,-57.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D20,54.5,-57.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D21,53,-57.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
D22,51.5,-57.5,0,top,XL-1010RGBC-WS2812B,XINGLIGHT-XL-1010RGBC
