Ref,Val,Package,PosX,PosY,Rot,Side
"D1","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-39.500000,0.000000,top
"D2","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-39.500000,0.000000,top
"D3","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-39.500000,0.000000,top
"D4","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-39.500000,0.000000,top
"D5","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-39.500000,0.000000,top
"D6","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-41.000000,180.000000,top
"D7","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-41.000000,180.000000,top
"D8","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-41.000000,180.000000,top
"D9","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-41.000000,180.000000,top
"D10","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-41.000000,180.000000,top
"D11","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-41.000000,180.000000,top
"D12","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-41.000000,180.000000,top
"D13","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-41.000000,180.000000,top
"D14","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-41.000000,180.000000,top
"D15","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-42.500000,0.000000,top
"D16","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-42.500000,0.000000,top
"D17","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-42.500000,0.000000,top
"D18","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-42.500000,0.000000,top
"D19","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-42.500000,0.000000,top
