Designator,Mid X,Mid Y,Rotation,Layer,Val,Package
C8,177.3,-49.5,180,bottom,10uF,C_0402_1005Metric
C8,72.3,-49.5,180,bottom,10uF,C_0402_1005Metric
C8,37.3,-49.5,180,bottom,10uF,C_0402_1005Metric
C8,142.3,-49.5,180,bottom,10uF,C_0402_1005Metric
C8,107.3,-49.5,180,bottom,10uF,C_0402_1005Metric
C9,37.3,-51.9,180,bottom,10uF,C_0402_1005Metric
C9,107.3,-51.9,180,bottom,10uF,C_0402_1005Metric
C9,177.3,-51.9,180,bottom,10uF,C_0402_1005Metric
C9,142.3,-51.9,180,bottom,10uF,C_0402_1005Metric
C9,72.3,-51.9,180,bottom,10uF,C_0402_1005Metric
C15,142.25,-46.99,180,bottom,1uF,C_0402_1005Metric
C15,37.25,-46.99,180,bottom,1uF,C_0402_1005Metric
C15,72.25,-46.99,180,bottom,1uF,C_0402_1005Metric
C15,107.25,-46.99,180,bottom,1uF,C_0402_1005Metric
C15,177.25,-46.99,180,bottom,1uF,C_0402_1005Metric
C16,112.75,-46.99,0,bottom,10uF,C_0402_1005Metric
C16,42.75,-46.99,0,bottom,10uF,C_0402_1005Metric
C16,147.75,-46.99,0,bottom,10uF,C_0402_1005Metric
C16,77.75,-46.99,0,bottom,10uF,C_0402_1005Metric
C16,182.75,-46.99,0,bottom,10uF,C_0402_1005Metric
C17,72,-66.5,180,bottom,100nF,C_0402_1005Metric
C17,107,-66.5,180,bottom,100nF,C_0402_1005Metric
C17,142,-66.5,180,bottom,100nF,C_0402_1005Metric
C17,37,-66.5,180,bottom,100nF,C_0402_1005Metric
C17,177,-66.5,180,bottom,100nF,C_0402_1005Metric
C18,174,-68,0,bottom,100nF,C_0402_1005Metric
C18,34,-68,0,bottom,100nF,C_0402_1005Metric
C18,139,-68,0,bottom,100nF,C_0402_1005Metric
C18,69,-68,0,bottom,100nF,C_0402_1005Metric
C18,104,-68,0,bottom,100nF,C_0402_1005Metric
C19,32.5,-69.5,180,bottom,100nF,C_0402_1005Metric
C19,137.5,-69.5,180,bottom,100nF,C_0402_1005Metric
C19,102.5,-69.5,180,bottom,100nF,C_0402_1005Metric
C19,67.5,-69.5,180,bottom,100nF,C_0402_1005Metric
C19,172.5,-69.5,180,bottom,100nF,C_0402_1005Metric
C20,31,-71,0,bottom,100nF,C_0402_1005Metric
C20,66,-71,0,bottom,100nF,C_0402_1005Metric
C20,101,-71,0,bottom,100nF,C_0402_1005Metric
C20,171,-71,0,bottom,100nF,C_0402_1005Metric
C20,136,-71,0,bottom,100nF,C_0402_1005Metric
C21,171,-83,0,bottom,100nF,C_0402_1005Metric
C21,136,-83,0,bottom,100nF,C_0402_1005Metric
C21,31,-83,0,bottom,100nF,C_0402_1005Metric
C21,66,-83,0,bottom,100nF,C_0402_1005Metric
C21,101,-83,0,bottom,100nF,C_0402_1005Metric
C22,172.5,-84.5,180,bottom,100nF,C_0402_1005Metric
C22,137.5,-84.5,180,bottom,100nF,C_0402_1005Metric
C22,32.5,-84.5,180,bottom,100nF,C_0402_1005Metric
C22,102.5,-84.5,180,bottom,100nF,C_0402_1005Metric
C22,67.5,-84.5,180,bottom,100nF,C_0402_1005Metric
C23,174,-86,0,bottom,100nF,C_0402_1005Metric
C23,104,-86,0,bottom,100nF,C_0402_1005Metric
C23,139,-86,0,bottom,100nF,C_0402_1005Metric
C23,34,-86,0,bottom,100nF,C_0402_1005Metric
C23,69,-86,0,bottom,100nF,C_0402_1005Metric
C24,177,-87.5,180,bottom,100nF,C_0402_1005Metric
C24,72,-87.5,180,bottom,100nF,C_0402_1005Metric
C24,37,-87.5,180,bottom,100nF,C_0402_1005Metric
C24,142,-87.5,180,bottom,100nF,C_0402_1005Metric
C24,107,-87.5,180,bottom,100nF,C_0402_1005Metric
C25,43,-87.5,180,bottom,100nF,C_0402_1005Metric
C25,148,-87.5,180,bottom,100nF,C_0402_1005Metric
C25,113,-87.5,180,bottom,100nF,C_0402_1005Metric
C25,183,-87.5,180,bottom,100nF,C_0402_1005Metric
C25,78,-87.5,180,bottom,100nF,C_0402_1005Metric
C26,81,-86,0,bottom,100nF,C_0402_1005Metric
C26,186,-86,0,bottom,100nF,C_0402_1005Metric
C26,116,-86,0,bottom,100nF,C_0402_1005Metric
C26,46,-86,0,bottom,100nF,C_0402_1005Metric
C26,151,-86,0,bottom,100nF,C_0402_1005Metric
C27,151,-68,0,bottom,100nF,C_0402_1005Metric
C27,116,-68,0,bottom,100nF,C_0402_1005Metric
C27,186,-68,0,bottom,100nF,C_0402_1005Metric
C27,81,-68,0,bottom,100nF,C_0402_1005Metric
C27,46,-68,0,bottom,100nF,C_0402_1005Metric
C28,181.5,-66.5,180,bottom,100nF,C_0402_1005Metric
C28,41.5,-66.5,180,bottom,100nF,C_0402_1005Metric
C28,76.5,-66.5,180,bottom,100nF,C_0402_1005Metric
C28,111.5,-66.5,180,bottom,100nF,C_0402_1005Metric
C28,146.5,-66.5,180,bottom,100nF,C_0402_1005Metric
D2,76.57,-48.1,0,bottom,ESD441DPLR,X2SON-2_L0.6-W0.3-P0.35_ESD441DPLR
D2,111.57,-48.1,0,bottom,ESD441DPLR,X2SON-2_L0.6-W0.3-P0.35_ESD441DPLR
D2,41.57,-48.1,0,bottom,ESD441DPLR,X2SON-2_L0.6-W0.3-P0.35_ESD441DPLR
D2,181.57,-48.1,0,bottom,ESD441DPLR,X2SON-2_L0.6-W0.3-P0.35_ESD441DPLR
D2,146.57,-48.1,0,bottom,ESD441DPLR,X2SON-2_L0.6-W0.3-P0.35_ESD441DPLR
J2,135.7,-35.8,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J2,170.7,-35.8,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J2,100.7,-35.8,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J2,65.7,-35.8,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J2,30.7,-35.8,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J3,65.7,-44.2,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J3,30.7,-44.2,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J3,100.7,-44.2,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J3,135.7,-44.2,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J3,170.7,-44.2,180,bottom,Interboard-F1,HDR-SMD_4P-P1.27-V-F-R2-C2-LS4.8
J4,119.9,-40,0,bottom,Interboard-F2,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8
J4,49.9,-40,0,bottom,Interboard-F2,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8
J4,84.9,-40,0,bottom,Interboard-F2,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8
J4,189.9,-40,0,bottom,Interboard-F2,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8
J4,154.9,-40,0,bottom,Interboard-F2,HDR-SMD_8P-P1.27-V-F-R2-C4-LS4.8
J5,189.3,-72.8,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J5,49.3,-72.8,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J5,119.3,-72.8,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J5,84.3,-72.8,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J5,154.3,-72.8,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J6,154.3,-81.2,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J6,84.3,-81.2,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J6,49.3,-81.2,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J6,189.3,-81.2,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J6,119.3,-81.2,0,bottom,Interboard-M1,HDR-SMD_4P-P1.27-V-M-R2-C2-S1.27-LS5.5
J7,170.1,-77,180,bottom,Interboard-M2,HDR-SMD_8P-P1.27-V-M-R2-C4-W5.5
J7,65.1,-77,180,bottom,Interboard-M2,HDR-SMD_8P-P1.27-V-M-R2-C4-W5.5
J7,30.1,-77,180,bottom,Interboard-M2,HDR-SMD_8P-P1.27-V-M-R2-C4-W5.5
J7,135.1,-77,180,bottom,Interboard-M2,HDR-SMD_8P-P1.27-V-M-R2-C4-W5.5
J7,100.1,-77,180,bottom,Interboard-M2,HDR-SMD_8P-P1.27-V-M-R2-C4-W5.5
R7,112.3,-49.9,90,bottom,100k,R_0402_1005Metric
R7,42.3,-49.9,90,bottom,100k,R_0402_1005Metric
R7,77.3,-49.9,90,bottom,100k,R_0402_1005Metric
R7,182.3,-49.9,90,bottom,100k,R_0402_1005Metric
R7,147.3,-49.9,90,bottom,100k,R_0402_1005Metric
R12,186,-69.5,180,bottom,470,R_0402_1005Metric
R12,151,-69.5,180,bottom,470,R_0402_1005Metric
R12,81,-69.5,180,bottom,470,R_0402_1005Metric
R12,46,-69.5,180,bottom,470,R_0402_1005Metric
R12,116,-69.5,180,bottom,470,R_0402_1005Metric
U1,75,-40,0,bottom,ESP32-C3-MINI-1,WIFIM-SMD_ESP32-C3-MINI-1
U1,40,-40,0,bottom,ESP32-C3-MINI-1,WIFIM-SMD_ESP32-C3-MINI-1
U1,110,-40,0,bottom,ESP32-C3-MINI-1,WIFIM-SMD_ESP32-C3-MINI-1
U1,180,-40,0,bottom,ESP32-C3-MINI-1,WIFIM-SMD_ESP32-C3-MINI-1
U1,145,-40,0,bottom,ESP32-C3-MINI-1,WIFIM-SMD_ESP32-C3-MINI-1
U2,40,-50.5,180,bottom,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
U2,180,-50.5,180,bottom,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
U2,110,-50.5,180,bottom,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
U2,75,-50.5,180,bottom,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
U2,145,-50.5,180,bottom,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
C1,148.5,-36.7,90,top,10uF,C_0402_1005Metric
C1,78.5,-36.7,90,top,10uF,C_0402_1005Metric
C1,113.5,-36.7,90,top,10uF,C_0402_1005Metric
C1,43.5,-36.7,90,top,10uF,C_0402_1005Metric
C1,183.5,-36.7,90,top,10uF,C_0402_1005Metric
C2,79.5,-36.7,90,top,100nF,C_0402_1005Metric
C2,114.5,-36.7,90,top,100nF,C_0402_1005Metric
C2,149.5,-36.7,90,top,100nF,C_0402_1005Metric
C2,44.5,-36.7,90,top,100nF,C_0402_1005Metric
C2,184.5,-36.7,90,top,100nF,C_0402_1005Metric
C3,150.95,-35.38,90,top,1uF,C_0402_1005Metric
C3,45.95,-35.38,90,top,1uF,C_0402_1005Metric
C3,80.95,-35.38,90,top,1uF,C_0402_1005Metric
C3,115.95,-35.38,90,top,1uF,C_0402_1005Metric
C3,185.95,-35.38,90,top,1uF,C_0402_1005Metric
C4,82.3,-33.4,90,top,100nF,C_0402_1005Metric
C4,187.3,-33.4,90,top,100nF,C_0402_1005Metric
C4,152.3,-33.4,90,top,100nF,C_0402_1005Metric
C4,47.3,-33.4,90,top,100nF,C_0402_1005Metric
C4,117.3,-33.4,90,top,100nF,C_0402_1005Metric
C5,29.3,-43.1,180,top,100nF,C_0402_1005Metric
C5,134.3,-43.1,180,top,100nF,C_0402_1005Metric
C5,64.3,-43.1,180,top,100nF,C_0402_1005Metric
C5,99.3,-43.1,180,top,100nF,C_0402_1005Metric
C5,169.3,-43.1,180,top,100nF,C_0402_1005Metric
C6,104.1,-41.85,-90,top,22pF,C_0402_1005Metric
C6,139.1,-41.85,-90,top,22pF,C_0402_1005Metric
C6,34.1,-41.85,-90,top,22pF,C_0402_1005Metric
C6,69.1,-41.85,-90,top,22pF,C_0402_1005Metric
C6,174.1,-41.85,-90,top,22pF,C_0402_1005Metric
C7,139.1,-43.75,90,top,22pF,C_0402_1005Metric
C7,69.1,-43.75,90,top,22pF,C_0402_1005Metric
C7,174.1,-43.75,90,top,22pF,C_0402_1005Metric
C7,34.1,-43.75,90,top,22pF,C_0402_1005Metric
C7,104.1,-43.75,90,top,22pF,C_0402_1005Metric
C10,107,-37.1,0,top,100nF,C_0402_1005Metric
C10,37,-37.1,0,top,100nF,C_0402_1005Metric
C10,177,-37.1,0,top,100nF,C_0402_1005Metric
C10,72,-37.1,0,top,100nF,C_0402_1005Metric
C10,142,-37.1,0,top,100nF,C_0402_1005Metric
C11,106.5,-38.5,90,top,120nF,C_0402_1005Metric
C11,176.5,-38.5,90,top,120nF,C_0402_1005Metric
C11,141.5,-38.5,90,top,120nF,C_0402_1005Metric
C11,36.5,-38.5,90,top,120nF,C_0402_1005Metric
C11,71.5,-38.5,90,top,120nF,C_0402_1005Metric
C12,110.2,-42.7,0,top,1uF,C_0402_1005Metric
C12,40.2,-42.7,0,top,1uF,C_0402_1005Metric
C12,75.2,-42.7,0,top,1uF,C_0402_1005Metric
C12,180.2,-42.7,0,top,1uF,C_0402_1005Metric
C12,145.2,-42.7,0,top,1uF,C_0402_1005Metric
C13,31.18,-32.9,180,top,100nF,C_0402_1005Metric
C13,101.18,-32.9,180,top,100nF,C_0402_1005Metric
C13,136.18,-32.9,180,top,100nF,C_0402_1005Metric
C13,66.18,-32.9,180,top,100nF,C_0402_1005Metric
C13,171.18,-32.9,180,top,100nF,C_0402_1005Metric
C14,103.1,-35.9,0,top,100nF,C_0402_1005Metric
C14,68.1,-35.9,0,top,100nF,C_0402_1005Metric
C14,138.1,-35.9,0,top,100nF,C_0402_1005Metric
